record_id|council_name|source_document|section_num|chiefdom|constituency|sn|project_name|village|ward|chiefdom_in_row|resources|priority|sub_item|source_page|category|sector|project_name_short
70|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|10|Construction of Staff Houses, Schools /Upgrading of Schools|Various schools|All the wards.|Mwanjawanthu||10|River/Building Sand|82|IDP_PROJECTS|Education|Construction of Staff Houses, Schools /Upgrading of Schools
71|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|10|Construction of Staff Houses, Schools /Upgrading of Schools|Various schools|All the wards.|Mwanjawanthu||10|Burnt Bricks|82|IDP_PROJECTS|Education|Construction of Staff Houses, Schools /Upgrading of Schools
72|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|12|Construction of Storage Sheds.|Various|all wards|Mwanjawanthu||12|Unskilled Labour|82|IDP_PROJECTS|Infrastructure|Construction of Storage Sheds.
73|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|12|Construction of Storage Sheds.|Various|all wards|Mwanjawanthu||12|Crushed stones|82|IDP_PROJECTS|Infrastructure|Construction of Storage Sheds.
74|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|12|Construction of Storage Sheds.|Various|all wards|Mwanjawanthu||12|River/Building Sand|82|IDP_PROJECTS|Infrastructure|Construction of Storage Sheds.
75|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|13|Construction of Skills Training Centres|Kaumbwe|Kaumbwe|Mwanjawanthu||13||82|IDP_PROJECTS|Education|Construction of Skills Training Centres
76|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|Uns|85|IDP_PROJECTS|Roads|Rehabilitation/C onstruction of Roads & Culverts
77|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|kille|85|IDP_PROJECTS|Roads|Rehabilitation/C onstruction of Roads & Culverts
78|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|d|85|IDP_PROJECTS|Roads|Rehabilitation/C onstruction of Roads & Culverts
79|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|Labo|85|IDP_PROJECTS|Roads|Rehabilitation/C onstruction of Roads & Culverts
80|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.4|Nyamphande|Msanzala Constituency|3|Rehabilitation/C onstruction of Roads & Culverts|All Gazetted Roads|AllWards|N ya m ph an de||3|ur|85|IDP_PROJECTS|Roads|Rehabilitation/C onstruction of Roads & Culverts
