0|1|2|3|5|7|source_page|4|6
"Performance reports and financial statements produced
01 Number of financial statements prepared
02 Number of performance reports produced"|"-
-"|"-
-"|"1
4"|"4
4"||33|"1
3"|
"New Valuation Roll prepared
01 Number of new of Valuation Roll prepared"|-|-|-|1||33|-|
"Review of legal instruments undertaken
01 Proportion of participation in the review of legal instruments"|-|-|-|100||33|-|
ECONOMIC CLASSIFICATION|2023 BUDGET|||||34|2024 BUDGET|2025 BUDGET
|Approved|"Expendit
ure"||"Expendit
ure*"||34|Approved|Estimates
"01Personal Emoluments
01Salaries and Wages
07Accounting
02Use of Goods and Services
02General Operations
07Accounting
04Assets
01Non-Financial Assets (Capital Expenditure)"|"-
-
-
-
-
-
-
-"|"-
-
-
-
-
-
-
-"||-||34|-|"343,484
343,484
343,484
44,050
44,050
44,050
-
-"
||||-||34|-|
||||-||34|-|
||||-||34|-|
||||-||34|-|
||||-||34|-|
||||-||34|1,720,000|
||||-||34|1,720,000|
Programme Total|(0)|(0)||(0)||34|1,720,000|387,534
PROGRAMME/SUBPROGRAMME|2023 BUDGET||2024 BUDGET|||34||2025 BUDGET
|Approved|"Expendit
ure"|Approved|"Expendit
ure*"||34||"Estimates
387,534
387,534
3873,8573,4534"
"12 Resource Mobilisation and Management
067Revenue Mobilisation and Enhancement"|"(0)
(0)"|(0)|"1,720,000
1,720,000"|(0)||34||
Programme Total|(0)|(0)|1,720,00|(0)||34|0|3873,8573,4534
Key Output and Output Indicator|2023||2024|2025||35||
|Target|Actual|Target|Target||35|Actual*|
"Council revenue base expanded
01 Number of Revenue agents (WDCs) engaged in revenue collection
02 Number of revenue engagement meetings held"|"-
-"|"-
-"|"2
4"|"3
4"||35|"-
8"|
ECONOMIC CLASSIFICATION|2023 BUDGET|||||36|2024 BUDGET|2025 BUDGET
|Approved|"Expendit
ure"||"Expendit
ure*"||36|Approved|Estimates
"02Use of Goods and Services
02General Operations
04Assets
01Non-Financial Assets (Capital Expenditure)"|"-
-
-
-"|"-
-
-
-"||-||36|6,515,609|"6,819,199
6,819,199"
||||-||36|6,515,609|
||||-||36|308,088|
||||-||36|308,088|
